2013-12-20 08:01:35,lift:33
2013-12-20 08:14:22,lwtservice:324
2013-12-20 08:23:01,skiing:37
2013-12-20 08:52:35,lift:37
2013-12-20 09:06:58,lwtservice:297
2013-12-20 09:13:36,skiing:33
2013-12-20 09:27:09,lift:33
2013-12-20 09:48:14,lwtservice:288
2013-12-20 09:55:56,skiing:37
2013-12-20 10:26:47,lift:37
2013-12-20 10:59:44,skiing:37
2013-12-20 11:20:13,lift:37
2013-12-20 11:42:00,skiing:33
2013-12-20 13:20:23,lift:33
2013-12-20 13:41:11,skiing:37
2013-12-20 14:02:46,lift:37
2013-12-20 14:32:10,skiing:33
2013-12-20 14:55:27,lift:33
2013-12-20 15:26:52,skiing:33
2013-12-20 15:48:08,lift:33
2013-12-20 16:04:39,skiing:37
2013-12-20 19:31:24,questionnaire:1
